@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R4,6-8,10,12,14'

@attribute team_a {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute team_b {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute spieltag numeric
@attribute saison_weight numeric
@attribute sun_a {S,U,N}
@attribute place_a numeric
@attribute place_b numeric
@attribute wins_pro_a numeric
@attribute points_pro_a numeric
@attribute wins_pro_b numeric
@attribute points_pro_b numeric
@attribute hg_01 numeric

@data
'Hansa Rostock','1. FC Kaiserslautern',6,1,S,12,8,0.352941,0.421569,0.441176,0.490196,1
'SC Freiburg','1860 Munchen',6,1,N,6,11,0.441176,0.539216,0.352941,0.431373,2
'FC Bayern Munchen','1. FC Koln',6,1,S,1,10,0.558824,0.617647,0.352941,0.45098,2
'VfL Bochum','VfB Stuttgart',6,1,U,18,15,0.205882,0.264706,0.264706,0.372549,2
'Eintracht Frankfurt','SV Werder Bremen',6,1,U,17,7,0.294118,0.343137,0.441176,0.519608,2
'FC Schalke 04','Borussia Dortmund',6,1,S,2,3,0.529412,0.607843,0.470588,0.568627,2
'Hamburger SV','VfL Wolfsburg',6,1,U,13,9,0.294118,0.401961,0.352941,0.460784,2
'Bayer 04 Leverkusen','FC Energie Cottbus',6,1,S,4,14,0.5,0.558824,0.352941,0.382353,2
'Hertha BSC Berlin','SpVgg Unterhaching',6,1,N,5,16,0.529412,0.54902,0.235294,0.343137,2
'1. FC Kaiserslautern','Hansa Rostock',6,1,N,8,12,0.441176,0.490196,0.352941,0.421569,2
'Eintracht Frankfurt','Borussia Dortmund',7,1,U,17,3,0.294118,0.343137,0.470588,0.568627,1
'Hertha BSC Berlin','1. FC Koln',7,1,S,5,10,0.529412,0.54902,0.352941,0.45098,1
'FC Bayern Munchen','Hansa Rostock',7,1,N,1,12,0.558824,0.617647,0.352941,0.421569,1
'Hamburger SV','FC Schalke 04',7,1,S,13,2,0.294118,0.401961,0.529412,0.607843,1
'VfL Bochum','SpVgg Unterhaching',7,1,S,18,16,0.205882,0.264706,0.235294,0.343137,1
'1. FC Kaiserslautern','FC Energie Cottbus',7,1,U,8,14,0.441176,0.490196,0.352941,0.382353,1
'Bayer 04 Leverkusen','1860 Munchen',7,1,U,4,11,0.5,0.558824,0.352941,0.431373,1
'SC Freiburg','SV Werder Bremen',7,1,N,6,7,0.441176,0.539216,0.441176,0.519608,1
'VfL Wolfsburg','VfB Stuttgart',7,1,U,9,15,0.352941,0.460784,0.264706,0.372549,1
'Borussia Dortmund','Eintracht Frankfurt',7,1,U,3,17,0.470588,0.568627,0.294118,0.343137,2
'1. FC Koln','Hertha BSC Berlin',7,1,N,10,5,0.352941,0.45098,0.529412,0.54902,2
'Hansa Rostock','FC Bayern Munchen',7,1,S,12,1,0.352941,0.421569,0.558824,0.617647,2
'FC Schalke 04','Hamburger SV',7,1,N,2,13,0.529412,0.607843,0.294118,0.401961,2
'SpVgg Unterhaching','VfL Bochum',7,1,N,16,18,0.235294,0.343137,0.205882,0.264706,2
'FC Energie Cottbus','1. FC Kaiserslautern',7,1,U,14,8,0.352941,0.382353,0.441176,0.490196,2
'1860 Munchen','Bayer 04 Leverkusen',7,1,U,11,4,0.352941,0.431373,0.5,0.558824,2
'SV Werder Bremen','SC Freiburg',7,1,S,7,6,0.441176,0.519608,0.441176,0.539216,2
'VfB Stuttgart','VfL Wolfsburg',7,1,U,15,9,0.264706,0.372549,0.352941,0.460784,2
'Borussia Dortmund','SC Freiburg',8,1,S,3,6,0.470588,0.568627,0.441176,0.539216,1
'SV Werder Bremen','Bayer 04 Leverkusen',8,1,U,7,4,0.441176,0.519608,0.5,0.558824,1
'FC Schalke 04','Eintracht Frankfurt',8,1,S,2,17,0.529412,0.607843,0.294118,0.343137,1
'1. FC Koln','VfL Bochum',8,1,S,10,18,0.352941,0.45098,0.205882,0.264706,1
'1860 Munchen','1. FC Kaiserslautern',8,1,N,11,8,0.352941,0.431373,0.441176,0.490196,1
'FC Energie Cottbus','FC Bayern Munchen',8,1,S,14,1,0.352941,0.382353,0.558824,0.617647,1
'VfB Stuttgart','Hamburger SV',8,1,U,15,13,0.264706,0.372549,0.294118,0.401961,1
'Hansa Rostock','Hertha BSC Berlin',8,1,N,12,5,0.352941,0.421569,0.529412,0.54902,1
'SpVgg Unterhaching','VfL Wolfsburg',8,1,N,16,9,0.235294,0.343137,0.352941,0.460784,1
'SC Freiburg','Borussia Dortmund',8,1,N,6,3,0.441176,0.539216,0.470588,0.568627,2
'Bayer 04 Leverkusen','SV Werder Bremen',8,1,U,4,7,0.5,0.558824,0.441176,0.519608,2
'Eintracht Frankfurt','FC Schalke 04',8,1,N,17,2,0.294118,0.343137,0.529412,0.607843,2
'VfL Bochum','1. FC Koln',8,1,N,18,10,0.205882,0.264706,0.352941,0.45098,2
'1. FC Kaiserslautern','1860 Munchen',8,1,S,8,11,0.441176,0.490196,0.352941,0.431373,2
'FC Bayern Munchen','FC Energie Cottbus',8,1,N,1,14,0.558824,0.617647,0.352941,0.382353,2
'Hamburger SV','VfB Stuttgart',8,1,U,13,15,0.294118,0.401961,0.264706,0.372549,2
'Hertha BSC Berlin','Hansa Rostock',8,1,S,5,12,0.529412,0.54902,0.352941,0.421569,2
'VfL Wolfsburg','SpVgg Unterhaching',8,1,S,9,16,0.352941,0.460784,0.235294,0.343137,2
'1. FC Kaiserslautern','SV Werder Bremen',9,1,S,8,7,0.441176,0.490196,0.441176,0.519608,1
'VfB Stuttgart','SpVgg Unterhaching',9,1,U,15,16,0.264706,0.372549,0.235294,0.343137,1
'Hamburger SV','Eintracht Frankfurt',9,1,S,13,17,0.294118,0.401961,0.294118,0.343137,1
'Hertha BSC Berlin','FC Energie Cottbus',9,1,S,5,14,0.529412,0.54902,0.352941,0.382353,1
